Date,Open,High,Low,Close,Adj Close,Volume
1965/12/9,2.281893,2.312757,2.26749,2.296296,0.665891,1403000
1965/12/10,2.292181,2.292181,2.246914,2.263375,0.656345,1512200
1965/12/13,2.263375,2.288066,2.263375,2.269547,0.658135,631800
1965/12/14,2.286008,2.298354,2.286008,2.286008,0.662908,977600
1965/12/15,2.286008,2.296296,2.279835,2.281893,0.661715,710400
1965/12/16,2.279835,2.279835,2.263375,2.273663,0.659328,874800
1965/12/17,2.273663,2.279835,2.257202,2.271605,0.658731,1008200
1965/12/20,2.263375,2.263375,2.213992,2.213992,0.642025,1439400
1965/12/21,2.213992,2.228395,2.197531,2.197531,0.637251,965600
1965/12/22,2.197531,2.199589,2.102881,2.139918,0.620544,2563400
1965/12/23,2.139918,2.144033,2.080247,2.115226,0.613384,1907400
1965/12/27,2.127572,2.185185,2.127572,2.127572,0.616964,1227000
1965/12/28,2.125515,2.125515,2.078189,2.084362,0.604434,1135800
1965/12/29,2.084362,2.164609,2.057613,2.117284,0.613981,2247600
1965/12/30,2.117284,2.12963,2.111111,2.115226,0.613384,358200
1965/12/31,2.115226,2.152263,2.111111,2.152263,0.624124,838200
1966/1/3,2.152263,2.216049,2.152263,2.211934,0.641428,826200
1966/1/4,2.220165,2.255144,2.220165,2.22428,0.645008,1336400
1966/1/5,2.226337,2.255144,2.226337,2.23251,0.647395,789600
1966/1/6,2.230453,2.230453,2.213992,2.218107,0.643217,765200
1966/1/7,2.218107,2.222222,2.185185,2.201646,0.638445,1142000
1966/1/10,2.201646,2.238683,2.195473,2.195473,0.636654,953400
1966/1/11,2.199589,2.213992,2.199589,2.207819,0.640234,546600
1966/1/12,2.213992,2.302469,2.213992,2.296296,0.665891,2727200
1966/1/13,2.382716,2.444444,2.382716,2.434156,0.705869,5048000
1966/1/14,2.434156,2.434156,2.390946,2.397119,0.695129,1463600
1966/1/17,2.397119,2.462963,2.390946,2.462963,0.714223,1530800
1966/1/18,2.469136,2.600823,2.469136,2.600823,0.7542,2648600
1966/1/19,2.600823,2.600823,2.510288,2.530864,0.733913,1907400
1966/1/20,2.530864,2.631687,2.528807,2.55144,0.739879,1628000
1966/1/21,2.532922,2.532922,2.473251,2.483539,0.720189,2909600
1966/1/24,2.510288,2.592592,2.510288,2.555556,0.741073,1524600
1966/1/25,2.555556,2.609054,2.55144,2.578189,0.747636,996200
1966/1/26,2.588477,2.666667,2.588477,2.650206,0.76852,1482200
1966/1/27,2.656379,2.713992,2.656379,2.693416,0.78105,1664400
1966/1/28,2.693416,2.73251,2.674897,2.707819,0.785227,1215000
1966/1/31,2.707819,2.831276,2.699589,2.744856,0.795967,3535400
1966/2/1,2.736625,2.736625,2.683128,2.718107,0.78821,1968200
1966/2/2,2.718107,2.855967,2.691358,2.841564,0.824012,2770200
1966/2/3,2.841564,2.884774,2.831276,2.831276,0.821028,2563400
1966/2/4,2.814815,2.814815,2.757202,2.765432,0.801934,4313000
1966/2/7,2.744856,2.744856,2.674897,2.703704,0.786374,3711600
1966/2/8,2.703704,2.736625,2.604938,2.685185,0.780989,4865600
1966/2/9,2.685185,2.720165,2.662551,2.679012,0.779192,1676600
1966/2/10,2.679012,2.755144,2.666667,2.73251,0.794752,2624400
1966/2/11,2.73251,2.77572,2.703704,2.72428,0.792359,1433600
1966/2/14,2.72428,2.72428,2.674897,2.693416,0.783381,1129800
1966/2/15,2.693416,2.759259,2.633745,2.658436,0.773208,5005800
1966/2/16,2.658436,2.662551,2.561728,2.584362,0.751663,5072400
1966/2/17,2.619342,2.679012,2.619342,2.63786,0.767223,2636400
1966/2/18,2.707819,2.781893,2.707819,2.769547,0.805524,4464800
1966/2/21,2.769547,2.796296,2.720165,2.728395,0.793556,1239200
1966/2/23,2.728395,2.744856,2.683128,2.683128,0.780389,996200
1966/2/24,2.683128,2.687243,2.619342,2.619342,0.761838,1305800
1966/2/25,2.621399,2.711934,2.621399,2.650206,0.770814,1871000
1966/2/28,2.687243,2.757202,2.687243,2.753086,0.800736,1834400
1966/3/1,2.753086,2.81893,2.72428,2.744856,0.798343,2654400
